NAME,ADDRESS,SEQ,START,END,TYPE,READWRITE,DEFAULT,IS_REGISTER,GROUP
DRP.SHOW_REALIGN_COMMA,27,0,11,11,attr,rw,0,y,GTHE3_CHANNEL
DRP.ALIGN_COMMA_ENABLE,27,0,0,9,attr,rw,0,y,GTHE3_CHANNEL
DRP.CPLL_FBDIV,28,0,8,15,attr,rw,0,y,GTHE3_CHANNEL
DRP.CPLL_FBDIV_45,28,0,7,7,attr,rw,0,y,GTHE3_CHANNEL
DRP.TXDRVBIAS_N,28,0,0,3,attr,rw,0,y,GTHE3_CHANNEL
DRP.CPLL_LOCK_CFG,29,0,0,15,attr,rw,0,y,GTHE3_CHANNEL
DRP.CPLL_REFCLK_DIV,2a,0,11,15,attr,rw,0,y,GTHE3_CHANNEL
DRP.CPLL_IPS_EN,2a,0,10,10,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.CPLL_IPS_REFCLK_SEL,2a,0,7,9,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.SATA_CPLL_CFG,2a,0,5,6,attr,rw,0,y,GTHE3_CHANNEL
DRP.TXDRVBIAS_P,2a,0,0,3,attr,rw,0,y,GTHE3_CHANNEL
DRP.CPLL_INIT_CFG0,2b,0,0,15,attr,rw,0,y,GTHE3_CHANNEL
DRP.DEC_PCOMMA_DETECT,2c,0,15,15,attr,rw,0,y,GTHE3_CHANNEL
DRP.TX_DIVRESET_TIME,2c,0,7,11,attr,rw,0,y,GTHE3_CHANNEL
DRP.RX_DIVRESET_TIME,2c,0,2,6,attr,rw,0,y,GTHE3_CHANNEL
DRP.A_TXPROGDIVRESET,2c,0,1,1,attr,rw,0,y,GTHE3_CHANNEL
DRP.A_RXPROGDIVRESET,2c,0,0,0,attr,rw,0,y,GTHE3_CHANNEL
DRP.RXCDR_LOCK_CFG1,2d,0,0,15,attr,rw,0,y,GTHE3_CHANNEL
DRP.RXCFOK_CFG1,2e,0,0,15,attr,rw,0,y,GTHE3_CHANNEL
DRP.RXDFE_H2_CFG0,2f,0,0,15,attr,rw,0,y,GTHE3_CHANNEL
DRP.RXDFE_H2_CFG1,30,0,0,15,attr,rw,0,y,GTHE3_CHANNEL
DRP.RXCFOK_CFG2,31,0,0,15,attr,rw,0,y,GTHE3_CHANNEL
DRP.RXLPM_CFG,32,0,0,15,attr,rw,0,y,GTHE3_CHANNEL
DRP.RXLPM_KH_CFG0,33,0,0,15,attr,rw,0,y,GTHE3_CHANNEL
DRP.RXLPM_KH_CFG1,34,0,0,15,attr,rw,0,y,GTHE3_CHANNEL
DRP.RXDFELPM_KL_CFG0,35,0,0,15,attr,rw,0,y,GTHE3_CHANNEL
DRP.RXDFELPM_KL_CFG1,36,0,0,15,attr,rw,0,y,GTHE3_CHANNEL
