NAME,ADDRESS,SEQ,START,END,TYPE,READWRITE,DEFAULT,IS_REGISTER,CTL,STAT,CONST,SAMP_EN,RH,CPLX_LOCAL,GROUP
DRP.TX_SAMPLE_PERIOD_LANE4,1201,0,7,9,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RX_SAMPLE_PERIOD_LANE4,1201,0,10,12,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RESET_MODE_LANE4,1202,0,0,1,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RESETDONE_IGNORE_RDY_LANE4,1202,0,2,3,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TXPMARESET_TIME_LANE4,1202,0,4,11,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RXPMARESET_TIME_LANE4,1202,0,12,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RXPMARESET_TIME_LANE4,1203,1,0,3,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TXRESETDONE_TIME_LANE4,1203,0,4,14,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RESET_IGNORE_FIBINITDONE_LANE4,1204,0,6,7,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RESET_IGNORE_GTZINITDONE_LANE4,1204,0,8,9,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RXRESETDONE_TIME_LANE4,1204,0,10,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RXRESETDONE_TIME_LANE4,1205,1,0,4,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.GTZ_POWER_UP_LANE4,1206,0,0,0,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TXUSRCLK_SEL_LANE4,1206,0,1,3,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RXUSRCLK_SEL_LANE4,1206,0,4,6,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.FIB_MULTICAST_GROUP_ID_LANE4,1208,0,0,7,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.FIB_IGNORE_BROADCAST_LANE4,1208,0,8,8,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.PMA_CTRL_1_LANE5,1400,0,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.PMA_CTRL_1_LANE5,1401,1,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.PMA_CTRL_2_LANE5,1402,0,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.PMA_CTRL_2_LANE5,1403,1,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.PMA_WIDTH_CTRL_LANE5,1406,0,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.PMA_WIDTH_CTRL_LANE5,1407,1,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TX_GAIN_CTRL_LANE5,1410,0,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TX_GAIN_CTRL_LANE5,1411,1,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RX_GAIN_CTRL_LANE5,1412,0,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RX_GAIN_CTRL_LANE5,1413,1,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TX_REFCLK_SYNC_CTRL_LANE5,1416,0,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TX_REFCLK_SYNC_CTRL_LANE5,1417,1,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TX_OUTPUT_EQ_CTRL_LANE5,1478,0,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TX_OUTPUT_EQ_CTRL_LANE5,1479,1,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TX_USER_REG_CTRL_LANE5,1480,0,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TX_USER_REG_CTRL_LANE5,1481,1,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TX_OVERRIDE_CTRL_LANE5,1518,0,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TX_OVERRIDE_CTRL_LANE5,1519,1,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TX_MODE_SEL_LANE5,1600,0,0,1,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RX_MODE_SEL_LANE5,1600,0,2,3,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.FIB_LOOPBACK_SEL_LANE5,1600,0,4,5,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TXOUTCLK_SEL_LANE5,1600,0,6,7,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RXOUTCLK_SEL_LANE5,1600,0,8,9,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RXFIFO_BITSLIP_RESET_TIME_LANE5,1600,0,11,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RXFIFO_BITSLIP_RESET_TIME_LANE5,1601,1,0,0,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RXFIFO_RESET_ON_BITSLIP_LANE5,1601,0,1,1,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TXFIFO_EN_LANE5,1601,0,2,2,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TX_CLK_GATING_EN_LANE5,1601,0,3,3,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RXFIFO_EN_LANE5,1601,0,4,4,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RX_CLK_GATING_EN_LANE5,1601,0,5,5,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.FIB_NEAREND_LPBK_CLK_SEL_LANE5,1601,0,6,6,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TX_SAMPLE_PERIOD_LANE5,1601,0,7,9,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RX_SAMPLE_PERIOD_LANE5,1601,0,10,12,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RESET_MODE_LANE5,1602,0,0,1,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RESETDONE_IGNORE_RDY_LANE5,1602,0,2,3,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TXPMARESET_TIME_LANE5,1602,0,4,11,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RXPMARESET_TIME_LANE5,1602,0,12,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RXPMARESET_TIME_LANE5,1603,1,0,3,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TXRESETDONE_TIME_LANE5,1603,0,4,14,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RESET_IGNORE_FIBINITDONE_LANE5,1604,0,6,7,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RESET_IGNORE_GTZINITDONE_LANE5,1604,0,8,9,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RXRESETDONE_TIME_LANE5,1604,0,10,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RXRESETDONE_TIME_LANE5,1605,1,0,4,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.GTZ_POWER_UP_LANE5,1606,0,0,0,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TXUSRCLK_SEL_LANE5,1606,0,1,3,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RXUSRCLK_SEL_LANE5,1606,0,4,6,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.FIB_MULTICAST_GROUP_ID_LANE5,1608,0,0,7,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.FIB_IGNORE_BROADCAST_LANE5,1608,0,8,8,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.PMA_CTRL_1_LANE6,1800,0,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
